Length,Generation
11350.626732788085, 1
8698.186861096205, 2
8091.542509670498, 3
8091.542509670498, 4
7958.231297368997, 5
7916.846939433382, 6
7512.720224842541, 7
7512.720224842541, 8
6894.616952420021, 9
6894.616952420021, 10
6894.616952420021, 11
6894.616952420021, 12
6832.568280498448, 13
6728.210338742729, 14
6568.703507469412, 15
6185.197288491398, 16
6185.197288491398, 17
5778.499274100997, 18
5778.499274100997, 19
5778.499274100997, 20
5778.499274100997, 21
5493.223046261651, 22
5493.223046261651, 23
5462.973785769969, 24
5291.0285500622185, 25
5218.901529375973, 26
5108.252090978119, 27
5108.252090978119, 28
4934.731015187402, 29
4796.926521045112, 30
4796.926521045112, 31
4796.926521045112, 32
4649.676563335608, 33
4649.676563335608, 34
4649.676563335608, 35
4644.708262608177, 36
4564.241194533728, 37
4564.241194533728, 38
4564.241194533728, 39
4377.505600787319, 40
4324.5451804419135, 41
4324.5451804419135, 42
4324.5451804419135, 43
4324.5451804419135, 44
4324.5451804419135, 45
4324.5451804419135, 46
4324.5451804419135, 47
4324.5451804419135, 48
4071.0223772886197, 49
4071.0223772886197, 50
4071.0223772886197, 51
4071.0223772886197, 52
4071.0223772886197, 53
4071.0223772886197, 54
4071.0223772886197, 55
4071.0223772886197, 56
4071.0223772886197, 57
4071.0223772886197, 58
4071.0223772886197, 59
4071.0223772886197, 60
4071.0223772886197, 61
4071.0223772886197, 62
4071.0223772886197, 63
4071.0223772886197, 64
4071.0223772886197, 65
4071.0223772886197, 66
4071.0223772886197, 67
4071.0223772886197, 68
4071.0223772886197, 69
4071.0223772886197, 70
4071.0223772886197, 71
4071.0223772886197, 72
4071.0223772886197, 73
4071.0223772886197, 74
4071.0223772886197, 75
4071.0223772886197, 76
4071.0223772886197, 77
4071.0223772886197, 78
4071.0223772886197, 79
4071.0223772886197, 80
4071.0223772886197, 81
4071.0223772886197, 82
3946.120114037047, 83
3946.120114037047, 84
3946.120114037047, 85
3841.0763737185316, 86
3841.0763737185316, 87
3841.0763737185316, 88
3841.0763737185316, 89
3841.0763737185316, 90
3826.1869434844357, 91
3826.1869434844357, 92
3826.1869434844357, 93
3826.1869434844357, 94
3826.1869434844357, 95
3826.1869434844357, 96
3826.1869434844357, 97
3826.1869434844357, 98
3826.1869434844357, 99
3826.1869434844357, 100
3826.1869434844357, 101
3826.1869434844357, 102
3826.1869434844357, 103
3826.1869434844357, 104
3826.1869434844357, 105
3826.1869434844357, 106
3826.1869434844357, 107
3826.1869434844357, 108
3826.1869434844357, 109
3826.1869434844357, 110
3826.1869434844357, 111
3751.9947904987193, 112
3751.9947904987193, 113
3751.9947904987193, 114
3751.9947904987193, 115
3751.9947904987193, 116
3751.9947904987193, 117
3751.9947904987193, 118
3751.9947904987193, 119
3751.9947904987193, 120
3751.9947904987193, 121
3751.9947904987193, 122
3751.9947904987193, 123
3751.9947904987193, 124
3751.9947904987193, 125
3751.9947904987193, 126
3751.9947904987193, 127
3751.9947904987193, 128
3751.9947904987193, 129
3751.9947904987193, 130
3751.9947904987193, 131
3751.9947904987193, 132
3751.9947904987193, 133
3751.9947904987193, 134
3751.9947904987193, 135
3751.9947904987193, 136
3751.9947904987193, 137
3646.9510501802038, 138
3646.9510501802038, 139
3646.9510501802038, 140
3646.9510501802038, 141
3646.9510501802038, 142
3646.9510501802038, 143
3646.9510501802038, 144
3646.9510501802038, 145
3646.9510501802038, 146
3646.9510501802038, 147
3646.9510501802038, 148
3646.9510501802038, 149
3646.9510501802038, 150
3646.9510501802038, 151
3646.9510501802038, 152
3646.9510501802038, 153
3646.9510501802038, 154
3646.9510501802038, 155
3646.9510501802038, 156
3646.9510501802038, 157
3646.9510501802038, 158
3646.9510501802038, 159
3646.9510501802038, 160
3646.9510501802038, 161
3646.9510501802038, 162
3621.8640230930746, 163
3621.8640230930746, 164
3621.8640230930746, 165
3621.8640230930746, 166
3621.8640230930746, 167
3621.8640230930746, 168
3621.8640230930746, 169
3621.8640230930746, 170
3621.8640230930746, 171
3621.8640230930746, 172
3621.8640230930746, 173
3621.8640230930746, 174
3621.8640230930746, 175
3621.8640230930746, 176
3621.8640230930746, 177
3621.8640230930746, 178
3621.8640230930746, 179
3621.8640230930746, 180
3621.8640230930746, 181
3621.8640230930746, 182
3621.8640230930746, 183
3621.8640230930746, 184
3621.8640230930746, 185
3621.8640230930746, 186
3621.8640230930746, 187
3621.8640230930746, 188
3621.8640230930746, 189
3621.8640230930746, 190
3621.8640230930746, 191
3621.8640230930746, 192
3621.8640230930746, 193
3621.8640230930746, 194
3621.8640230930746, 195
3621.8640230930746, 196
3621.8640230930746, 197
3621.8640230930746, 198
3621.8640230930746, 199
3621.8640230930746, 200
3621.8640230930746, 201
3621.8640230930746, 202
3621.8640230930746, 203
3621.8640230930746, 204
3621.8640230930746, 205
3621.8640230930746, 206
3621.8640230930746, 207
3491.5978643716007, 208
3491.5978643716007, 209
3491.5978643716007, 210
3491.5978643716007, 211
3491.5978643716007, 212
3491.5978643716007, 213
3491.5978643716007, 214
3491.5978643716007, 215
3491.5978643716007, 216
3491.5978643716007, 217
3491.5978643716007, 218
3491.5978643716007, 219
3491.5978643716007, 220
3491.5978643716007, 221
3491.5978643716007, 222
